State,Vaccines Delivered,Vaccines Used
Alaska,299935,216223
Alabama,1077600,739132
Arkansas,691525,517271
Arizona,1679175,1376405
California,9164130,6964603
Colorado,1332775,1132448
Connecticut,958925,822615
District of Columbia,225125,157111
Delaware,204200,175305
Florida,4971575,4198451
